sample,total_seconds,phase,phase_seconds,weapon_pos,right_hand,left_hand,right_ik,left_ik,right_target_error,left_target_error,dominant_error,support_error,right_guidance,left_guidance,right_ik_active,left_ik_active
1,0.0000,0,0.0000,"(-0.12591 0.76687 0.12620)","(-0.09673 0.90537 0.19229)","(0.10223 0.86523 -0.14452)","(-0.10375 0.85963 0.19992)","(0.21271 0.85458 -0.04148)",0.046906,0.151448,0.168874,0.699928,true,false,false,false
2,0.0000,1,0.0000,"(-0.12591 0.76687 0.12620)","(0.01591 0.92662 0.25038)","(0.11042 0.86111 -0.13463)","(0.02302 0.87224 0.27067)","(0.21271 0.85458 -0.04148)",0.058478,0.138505,0.221362,0.688451,true,false,false,false
3,0.0167,1,0.0167,"(-0.12591 0.76687 0.12620)","(-0.09925 0.90513 0.19123)","(0.10485 0.86390 -0.14147)","(-0.10651 0.85945 0.19868)","(0.21271 0.85458 -0.04148)",0.046854,0.147374,0.169600,0.696366,true,false,false,false
4,0.0333,1,0.0333,"(-0.12591 0.76687 0.12620)","(-0.09516 0.90547 0.19270)","(0.10310 0.86482 -0.14366)","(-0.10202 0.85967 0.20042)","(0.21271 0.85458 -0.04148)",0.046950,0.150199,0.168282,0.698904,true,false,false,false
5,0.0500,1,0.0500,"(-0.12591 0.76687 0.12620)","(-0.09303 0.90574 0.19379)","(0.10236 0.86522 -0.14459)","(-0.09968 0.85989 0.20168)","(0.21271 0.85458 -0.04148)",0.046997,0.151391,0.167898,0.699986,true,false,false,false
6,0.0667,1,0.0667,"(-0.12591 0.76687 0.12620)","(-0.09681 0.90524 0.19178)","(0.10231 0.86525 -0.14466)","(-0.10384 0.85947 0.19936)","(0.21271 0.85458 -0.04148)",0.046921,0.151484,0.168546,0.700072,true,false,false,false
7,0.0833,1,0.0833,"(-0.12591 0.76687 0.12620)","(-0.10369 0.90436 0.18810)","(0.10228 0.86526 -0.14469)","(-0.11142 0.85870 0.19510)","(0.21271 0.85458 -0.04148)",0.046828,0.151523,0.170004,0.700109,true,false,false,false
8,0.1000,1,0.1000,"(-0.12591 0.76687 0.12620)","(-0.10382 0.90433 0.18798)","(0.10228 0.86527 -0.14469)","(-0.11156 0.85867 0.19497)","(0.21271 0.85458 -0.04148)",0.046829,0.151527,0.169992,0.700112,true,false,false,false
9,0.1167,1,0.1167,"(-0.12591 0.76687 0.12620)","(-0.10437 0.90427 0.18773)","(0.10228 0.86527 -0.14469)","(-0.11217 0.85863 0.19468)","(0.21271 0.85458 -0.04148)",0.046823,0.151527,0.170169,0.700113,true,false,false,false
10,0.1333,1,0.1333,"(-0.12591 0.76687 0.12620)","(-0.10402 0.90430 0.18787)","(0.10228 0.86527 -0.14469)","(-0.11178 0.85865 0.19484)","(0.21271 0.85458 -0.04148)",0.046827,0.151527,0.170041,0.700113,true,false,false,false
11,0.1500,1,0.1500,"(-0.12591 0.76687 0.12620)","(-0.10341 0.90439 0.18825)","(0.10228 0.86527 -0.14469)","(-0.11110 0.85874 0.19528)","(0.21271 0.85458 -0.04148)",0.046831,0.151527,0.169935,0.700113,true,false,false,false
12,0.1667,1,0.1667,"(-0.12591 0.76687 0.12620)","(-0.10330 0.90441 0.18831)","(0.10228 0.86527 -0.14469)","(-0.11099 0.85875 0.19534)","(0.21271 0.85458 -0.04148)",0.046832,0.151527,0.169910,0.700113,true,false,false,false
13,0.1833,1,0.1833,"(-0.12591 0.76687 0.12620)","(-0.10352 0.90438 0.18819)","(0.10228 0.86527 -0.14469)","(-0.11123 0.85872 0.19520)","(0.21271 0.85458 -0.04148)",0.046830,0.151527,0.169963,0.700113,true,false,false,false
14,0.2000,1,0.2000,"(-0.12591 0.76687 0.12620)","(-0.10368 0.90436 0.18810)","(0.10228 0.86527 -0.14469)","(-0.11141 0.85870 0.19511)","(0.21271 0.85458 -0.04148)",0.046828,0.151527,0.170001,0.700113,true,false,false,false
15,0.2167,1,0.2167,"(-0.12591 0.76687 0.12620)","(-0.10324 0.90440 0.18829)","(0.10228 0.86527 -0.14469)","(-0.11092 0.85874 0.19532)","(0.21271 0.85458 -0.04148)",0.046834,0.151527,0.169853,0.700113,true,false,false,false
16,0.2333,1,0.2333,"(-0.12591 0.76687 0.12620)","(-0.10325 0.90441 0.18833)","(0.10228 0.86527 -0.14469)","(-0.11093 0.85875 0.19537)","(0.21271 0.85458 -0.04148)",0.046833,0.151527,0.169897,0.700113,true,false,false,false
17,0.2500,1,0.2500,"(-0.12591 0.76687 0.12620)","(-0.10325 0.90441 0.18833)","(0.10228 0.86527 -0.14469)","(-0.11093 0.85875 0.19537)","(0.21271 0.85458 -0.04148)",0.046833,0.151527,0.169898,0.700113,true,false,false,false
18,0.2667,1,0.2667,"(-0.12591 0.76687 0.12620)","(-0.10325 0.90441 0.18833)","(0.10228 0.86527 -0.14469)","(-0.11093 0.85875 0.19537)","(0.21271 0.85458 -0.04148)",0.046833,0.151527,0.169898,0.700113,true,false,false,false
19,0.2833,1,0.2833,"(-0.12591 0.76687 0.12620)","(-0.10325 0.90441 0.18833)","(0.10228 0.86527 -0.14469)","(-0.11093 0.85875 0.19537)","(0.21271 0.85458 -0.04148)",0.046833,0.151527,0.169898,0.700113,true,false,false,false
20,0.3000,1,0.3000,"(-0.12591 0.76687 0.12620)","(-0.10325 0.90441 0.18833)","(0.10228 0.86527 -0.14469)","(-0.11093 0.85875 0.19537)","(0.21271 0.85458 -0.04148)",0.046833,0.151527,0.169898,0.700113,true,false,false,false
21,0.3167,1,0.3167,"(-0.12591 0.76687 0.12620)","(-0.10325 0.90441 0.18833)","(0.10228 0.86527 -0.14469)","(-0.11093 0.85875 0.19537)","(0.21271 0.85458 -0.04148)",0.046833,0.151527,0.169898,0.700113,true,false,false,false
