sample,total_seconds,phase,phase_seconds,reset_count,selected_index,node_grip,node_two_hand,node_primary,dominant_slot,dominant_error,support_error,dominant_finger_distance,support_finger_distance,dominant_finger_readiness,support_finger_readiness,body_self_legal,body_self_illegal_count,collision_pose_legal,collision_path_legal,right_hand_y_forearm_dot,left_hand_y_forearm_dot,right_hand_x_tip_plane_dot,left_hand_x_tip_plane_dot,dominant_hand_y_error,dominant_hand_x_side_error,right_ik_error,left_ik_error,right_hand,right_ik,left_hand,left_ik,weapon_pos,right_index3,right_mid3,right_thumb3,left_index3,left_mid3,left_thumb3
1,0.0000,0,0.0000,0,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.598089,0.034508,-1.000000,1.000000,-1.000000,false,2,true,true,0.434038,0.972929,-0.021208,-0.993832,0.565962,1.021208,0.065106,0.038634,"(-0.24859 0.90604 0.27711)","(-0.26761 0.85072 0.30569)","(0.17610 0.85175 -0.05350)","(0.21271 0.85458 -0.04148)","(-0.20619 0.82676 0.26204)","(-0.14610 0.86222 0.27991)","(-0.15409 0.87499 0.25221)","(-0.15654 0.94594 0.31472)","(0.13118 0.70777 -0.12051)","(0.15938 0.71271 -0.14220)","(0.11526 0.77020 -0.10006)"
2,0.0000,1,0.0000,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
3,0.0167,1,0.0167,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
4,0.0333,1,0.0333,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
5,0.0500,1,0.0500,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
6,0.0667,1,0.0667,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
7,0.0833,1,0.0833,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
8,0.1000,1,0.1000,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
9,0.1167,1,0.1167,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
10,0.1333,1,0.1333,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
11,0.1500,1,0.1500,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
12,0.1667,1,0.1667,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
13,0.1833,1,0.1833,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
14,0.2000,1,0.2000,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
15,0.2167,1,0.2167,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
16,0.2333,1,0.2333,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
17,0.2500,1,0.2500,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
18,0.2667,1,0.2667,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
19,0.2833,1,0.2833,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
20,0.3000,1,0.3000,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
21,0.3167,1,0.3167,1,1,grip_normal,two_hand_one_hand,hand_right,hand_right,0.000000,0.595299,0.038084,-1.000000,1.000000,-1.000000,false,3,true,true,0.499782,0.972929,-0.018962,-0.971269,0.500218,1.018962,0.068787,0.041631,"(-0.23918 0.91342 0.29855)","(-0.25882 0.85582 0.33060)","(0.17561 0.84426 -0.02564)","(0.21271 0.85458 -0.04148)","(-0.20532 0.82991 0.28478)","(-0.14172 0.85934 0.30144)","(-0.14863 0.87232 0.27354)","(-0.14315 0.94435 0.33460)","(0.12532 0.69191 -0.06436)","(0.14535 0.69624 -0.09386)","(0.11090 0.75508 -0.04509)"
