sample,total_seconds,press,press_seconds,focus,selected_index,node_grip,node_tip,node_pommel,resolved_tip,resolved_pommel,display_tip,display_pommel,weapon_pos,weapon_step,weapon_basis_step_degrees,dominant_error,dominant_finger_distance,dominant_readiness,collision_pose_legal,body_self_legal,right_hand_y_forearm_dot,left_hand_y_forearm_dot,right_hand_x_tip_plane_dot,left_hand_x_tip_plane_dot
1,0.0000,0,0.0000,pommel,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(0.06988 -2.14135 1.61434),(-0.06444 0.70896 1.96551),(0.06988 -2.14135 1.61434),(-0.06444 0.70896 1.96551),(-0.10475 1.89909 -0.13932),0.000000,0.000000,0.239311,0.063972,0.992384,true,true,1.000000,0.972929,0.999879,-0.965763
2,0.0167,1,0.0167,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.143985,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
3,0.0333,1,0.0333,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
4,0.0500,1,0.0500,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
5,0.0667,1,0.0667,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
6,0.0833,1,0.0833,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
7,0.1000,1,0.1000,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
8,0.1167,1,0.1167,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
9,0.1333,1,0.1333,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
10,0.1500,1,0.1500,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
11,0.1667,1,0.1667,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
12,0.1833,1,0.1833,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
13,0.2000,1,0.2000,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
14,0.2167,1,0.2167,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
15,0.2333,1,0.2333,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
16,0.2500,1,0.2500,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
17,0.2667,1,0.2667,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
18,0.2833,1,0.2833,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
19,0.3000,1,0.3000,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
20,0.3167,1,0.3167,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
21,0.3333,1,0.3333,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
22,0.3500,1,0.3500,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
23,0.3667,1,0.3667,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
24,0.3833,1,0.3833,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
25,0.4000,1,0.4000,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
26,0.4167,1,0.4167,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
27,0.4333,1,0.4333,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
28,0.4500,1,0.4500,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
29,0.4667,1,0.4667,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
30,0.4833,1,0.4833,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
31,0.5000,1,0.5000,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
32,0.5167,1,0.5167,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
33,0.5333,1,0.5333,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
34,0.5500,1,0.5500,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
35,0.5667,1,0.5667,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
36,0.5833,1,0.5833,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
37,0.6000,1,0.6000,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
38,0.6167,1,0.6167,weapon,1,grip_normal,(0.13569 -2.04885 1.35860),(0.00137 0.80146 1.70977),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.06210 -2.17420 1.56708),(-0.19642 0.67611 1.91825),(-0.21196 1.85183 -0.05562),0.000000,0.000000,0.245851,0.106848,0.788680,true,true,1.000000,0.972929,0.858863,-0.780935
